name	full_name	id	description	language	size	watchers	forks	stargazers_count
azure-mobile-apps-js-client	Azure/azure-mobile-apps-js-client	46444073	Javascript Clients for Azure Mobile Apps	JavaScript	3616	26	10	26
emobc-html5	emobc/emobc-html5	6299834	eMobc HTML5 Framework: Develop mobile apps based in XML	JavaScript	19660	26	23	26
famous-flickr	thaiat/famous-flickr	25518911	A flickr like mobile app implemented with famous	CSS	1326	26	5	26
CordovaAlbumViewer	RickStrahl/CordovaAlbumViewer	28426477	Sample code for "Taming Mobile Apps with Cordova and Visual Studio" CODE magazine article	JavaScript	7357	26	17	26
rhatter	quintonwall/rhatter	1720387	Rails and JQuery Mobile app using the Chatter REST API	JavaScript	786	25	8	25
UIKit	limitlessperspective/UIKit	1307212	Port of Apple's UIKit to Cappuccino. Designed for Mobile App development with Objective-J.	Objective-J	771	25	5	25
kayak-mobile-client	shbhrsaha/kayak-mobile-client	28278042	A basic client for the Kayak mobile app's server API	Python	132	25	3	25
newshunt	kaissaroj/newshunt	30519180	A Hybrid Social Mobile App Developed using MeteorJs & Framework7	CSS	188	25	1	25
Programming-Mobile-Applications-for-Android-Handheld-Systems	jbutewicz/Programming-Mobile-Applications-for-Android-Handheld-Systems	16787093	I will post my solutions to the labs from the Coursera class Programming Mobile Applications for Android Handheld Systems taught by Adam Porter from January 21, 2014 to March 18, 2014 here upon completion.	Java	4304	24	45	24
berlin-vegan-guide	smeir/berlin-vegan-guide	1479612	deprecated mobile app for iOS and Android (Sencha Touch & phonegap)	JavaScript	8815	24	8	24
piwik-mobile	piwik/piwik-mobile	4439101	Check out Piwik Mobile 2: https://github.com/piwik/piwik-mobile-2/ - Piwik Mobile App - Liberating Web Analytics on the go!	JavaScript	8326	24	6	24
smarter-apps	pierceboggan/smarter-apps	61157227	Learn how to build smarter mobile apps using Microsoft Cognitive Services & Xamarin.	C#	44756	23	24	23
polymer-native	PixelsCommander/polymer-native	58212761	Develop completely native mobile apps with Web Components	JavaScript	4010	23	4	23
IcelandEarthquakes	paranoida/IcelandEarthquakes	33359566	Mobile App made in react-native! It displays Earthquakes that happened in Iceland in last 48 hours.	JavaScript	703	23	10	23
mobile-app-introduction-template	CodyHouse/mobile-app-introduction-template	25510905	A basic template to showcase the best features of your app	JavaScript	1888	22	8	22
RemotePresentations	sergioaraki/RemotePresentations	15478667	Controls HTML5 presentation with mobile apps	Java	659	22	7	22
TwitchCast	Arxk/TwitchCast	23335371	An unofficial Twitch mobile app	JavaScript	900	22	7	22
monaca-framework-ios	monaca/monaca-framework-ios	5698348	Monaca Framework provides additional functionalities for PhoneGap hybrid mobile apps	Objective-C	5112	22	4	22
BuildmLearn-Toolkit-Android	BuildmLearn/BuildmLearn-Toolkit-Android	34827256	This repository contains the Android version of the BuildmLearn Toolkit. BuildmLearn Toolkit is an easy-to-use program that helps the users make mobile apps without any knowledge of application development.	Java	114929	22	73	22
map-gallery-template-js	Esri/map-gallery-template-js	3072048	This Public Gallery template is designed for anyone who wants to showcase their ArcGIS Online maps, layers, and mobile apps in a dynamic web gallery.	JavaScript	6073	22	23	22
bradypodion	excellenteasy/bradypodion	11266162	Create post-platform mobile apps with ease	JavaScript	5589	22	1	22
Curatescape	CPHDH/Curatescape	3586508	Curatescape is a mobile app ecosystem, designed to "curate the landscape" through the use of geo-located historical texts, archival film and images, oral history (and other) audio, and short documentary videos. 	null	172048	22	4	22
MobileApp	Fruzenshtein/MobileApp	11561004	Test Spring application with CNVR and REST	Java	231	21	41	21
spine.mobile.contacts	maccman/spine.mobile.contacts	2381355	Example Spine Mobile App	CoffeeScript	774	21	7	21
mobile-apps-article-templates	guardian/mobile-apps-article-templates	16987877	Templates for articles on both iOS and Android next-gen apps	CSS	44520	21	5	21
html5-kitchensink-cordova-xdk-af	krisrak/html5-kitchensink-cordova-xdk-af	14056067	HTML5 Kitchen Sink Mobile App showing Apache Cordova*, Intel XDK APIs and Intel AppFramework features and capabilities	JavaScript	1158	21	22	21
kco-mobile-sdk	klarna/kco-mobile-sdk	53515511	Klarna Checkout SDK for mobile apps: iOS, Android and Cordova	HTML	18546	21	6	21
HowIsTheWeather	lis186/HowIsTheWeather	1786621	A titanium mobile app for iPhone and android to display current local weather.	JavaScript	3401	21	3	21
Branch-Integration-Guides	BranchMetrics/Branch-Integration-Guides	26975387	All the guides to integrate Branch deep links on iOS and Android apps, how to set up content share, deep linked ads and referral systems. Branch.io helps mobile apps grow with deep links / deeplinks that power referral systems, sharing links and invites with full attribution and analytics.	null	5597	21	15	21
MeatText	bsudekum/MeatText	5636344	A mobile app version of MeetMeHere	JavaScript	18026	20	9	20
