name	full_name	id	description	language	size	watchers	forks	stargazers_count
Simple-Javascript-Text-Editor	singhjaideep/Simple-Javascript-Text-Editor	3242170		JavaScript	112	2	3	2
YATE	benwaffle/YATE	17355829	Yet Another Text Editor	C	204	2	4	2
text_editor	share-with-me/text_editor	30138216		Python	104	2	1	2
Text-Editor	markelonn/Text-Editor	36713538	A text editor developed in Python 3 using Tkinter for GUI.	Python	107	2	2	2
Text-Editor	Seinh/Text-Editor	1300486	Editorsito de Texto	Java	116	2	0	2
text-editor	phase/text-editor	54868148	text editor using Electron and CodeMirror	JavaScript	686	2	0	2
TextEditor	fogleman/TextEditor	3441335	Scintilla-based text editor written in Python and wxPython	Python	1360	2	1	2
Text-Editor	dmulder/Text-Editor	1187765	A simple text editor, originally written for windows. Porting to Linux.	C#	936	2	0	2
Text-Editor	pedrolinhares/Text-Editor	620218	Basic text editor written in C++ using Qt4 	C++	476	2	0	2
Text_Editor	rasppie/Text_Editor	21836618		Python	144	2	2	2
Meta-Text-Editor	jlebrech/Meta-Text-Editor	3452521	A text editor in which you can edit code by typing in code 	null	92	2	0	2
Rich-Text-Editor	balaarjunan/Rich-Text-Editor	1253652	Rich Text Editor	JavaScript	136	2	0	2
InterText_editor	czcorpus/InterText_editor	50935765	Editor for aligned parallel texts (personal desktop application).	C++	5593	2	0	2
Agilitext-Text-Editor	gmcgibbon/Agilitext-Text-Editor	12212094	Agilitext Text Editor is a multiplatform lightweight text editing application.	Java	608	2	0	2
simple_text_editor	chrisbu/simple_text_editor	7121073		Dart	196	2	1	2
SimpleTextEditor	thata/SimpleTextEditor	3422616	Your third iOS App's source code	null	124	2	0	2
WJRichTextEditor	WJachowicz/WJRichTextEditor	9041145	iOS implementation of rich text editor	Objective-C	168	2	0	2
opalang-text-editor	tavor/opalang-text-editor	4336191		null	88	2	0	2
ICSharpCode.TextEditor.V4	cepthomas/ICSharpCode.TextEditor.V4	24558267	An evolution of the old WinForm text editor.	C#	1020	2	2	2
sublimetext-plugins	ePages-rnd/sublimetext-plugins	9472106	Plugins for the Sublime Text editor	JavaScript	354	2	5	2
atom-editor	sjug/atom-editor	40450627	AUR package for the atom text editor	Shell	57	2	5	2
note5	fitraditya/note5	12428765	HTML5 Plain Text Editor	CSS	427	2	3	2
textarea-editor	eivindfjeldstad/textarea-editor	56749425	Simple markdown editor for textareas	JavaScript	11	2	0	2
sublime-spintools	bitbased/sublime-spintools	7857680	Sublime Text Editor Spin Langauge Tools	null	116	2	3	2
notepad	zleap/notepad	24800298	basic text editor written in python	Python	22	2	5	2
fate	Chiel92/fate	11146691	Text Editor	Python	777	2	1	2
RTE	johnisaac/RTE	2164283	Simple Rich Text Editor	JavaScript	187	2	2	2
zile-gui	gpaquet/zile-gui	53672	text editor	null	48	2	0	2
language-bazel	ptsurko/language-bazel	41455970	Bazel language support for Atom text editor	CoffeeScript	59	2	3	2
firefox-simple-text-editor	kud/firefox-simple-text-editor	19959178	A simple text editor for your firefox.	JavaScript	504	2	0	2
Jquery-Rich-Text-Editor	neerajkumar/Jquery-Rich-Text-Editor	2503774	A light weight RTE jQuery Plugin	JavaScript	120	2	0	2
php-rich-text-editor	wesleyegberto/php-rich-text-editor	18709180	Project to integrate rich text editor Tiny MCE and Elfinder file explorer	null	1688	2	0	2
pistiwique_pie_text_editor	pistiwique/pistiwique_pie_text_editor	45980046		Python	15	2	0	2
ICSharpCode.TextEditor	nano-byte/ICSharpCode.TextEditor	20960829	text editor used in SharpDevelop 3 with some custom patches	C#	368	2	0	2
two-column-text-editor	rbenhase/two-column-text-editor	62171421	A Beaver Brewer module which provides two WYSIWYG editors, allowing for side-by-side content panels within a single page builder column.	PHP	4	2	0	2
RichTextEditorTweaks	mbeijen/RichTextEditorTweaks	1492052	Tweaks for the OTRS Rich Text Editor	JavaScript	104	2	1	2
qml-shadow-text-editor	gustavosbarreto/qml-shadow-text-editor	18570383		C++	156	2	0	2
rails_textile_editor	XFinger/rails_textile_editor	1856965	Rails tutorial on creating a textile editor using RedCloth and the textile-editor-helper plugin.	JavaScript	180	2	0	2
Expression	Bccorb/Expression	26297502	Text Editor Project built on Java	Java	462	2	2	2
zile	gpaquet/zile	53669	Zile text editor	null	192	2	0	2
quip	jpetrie/quip	44756092	A text editor.	C++	960	2	0	2
QTextEditor	jcespinoza/QTextEditor	8384544	Simple Text editor.	C++	160	2	1	2
sandy	antics/sandy	3207703	sandy text editor	C	111	2	1	2
NLP	TusharNaik/NLP	18994278	Integrated Text Editor	Java	28212	2	0	2
ned	joaIW0pC/ned	3462577	ncurses text editor	C++	85	2	0	2
robot-sublimetext-bundle	bettertest-org/robot-sublimetext-bundle	7839313	Robot Framework bundle for Sublime Text editor	null	93	2	2	2
Project-Umbra	maxnordlund/Project-Umbra	1555303	Mhasiran text editor	Java	468	2	0	2
glyph	liehann/glyph	791779	Programmers text editor.	null	96	2	0	2
jarn	vlatri/jarn	43502125	Handwritten text editor	JavaScript	9524	2	0	2
lebowski	424f/lebowski	601367	Collaborative text editor	C#	7559	2	0	2
light-editor	juanma-aguero/light-editor	2316412	A very simple and super light text editor	JavaScript	119	2	3	2
