,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
132,showcase_noStem2,45.0,50.0,0.6,0.1,67.1,87.4,75.9
133,showcase_noStem2,45.0,50.0,0.6,0.2,73.3,88.3,80.1
134,showcase_noStem2,45.0,50.0,0.6,0.3,71.9,89.3,79.7
135,showcase_noStem2,45.0,50.0,0.6,0.4,67.4,86.4,75.7
136,showcase_noStem2,45.0,50.0,0.7,0.1,68.2,91.3,78.1
137,showcase_noStem2,45.0,50.0,0.7,0.2,69.5,87.4,77.4
138,showcase_noStem2,45.0,50.0,0.7,0.3,71.7,90.3,80.0
139,showcase_noStem2,45.0,50.0,0.7,0.4,66.0,88.3,75.6
140,showcase_noStem2,45.0,50.0,0.8,0.1,63.8,85.4,73.0
141,showcase_noStem2,45.0,50.0,0.8,0.2,65.1,85.4,73.9
142,showcase_noStem2,45.0,50.0,0.8,0.3,68.3,92.2,78.5
143,showcase_noStem2,45.0,50.0,0.8,0.4,66.4,88.3,75.8
144,showcase_noStem2,50.0,50.0,0.5,0.1,74.3,91.3,81.9
145,showcase_noStem2,50.0,50.0,0.5,0.2,72.3,89.3,79.9
146,showcase_noStem2,50.0,50.0,0.5,0.3,66.0,88.3,75.6
147,showcase_noStem2,50.0,50.0,0.5,0.4,70.1,90.3,78.9
148,showcase_noStem2,50.0,50.0,0.6,0.1,67.1,87.4,75.9
149,showcase_noStem2,50.0,50.0,0.6,0.2,73.3,88.3,80.1
150,showcase_noStem2,50.0,50.0,0.6,0.3,71.9,89.3,79.7
151,showcase_noStem2,50.0,50.0,0.6,0.4,67.4,86.4,75.7
152,showcase_noStem2,50.0,50.0,0.7,0.1,68.2,91.3,78.1
153,showcase_noStem2,50.0,50.0,0.7,0.2,69.5,87.4,77.4
154,showcase_noStem2,50.0,50.0,0.7,0.3,71.7,90.3,80.0
155,showcase_noStem2,50.0,50.0,0.7,0.4,66.0,88.3,75.6
156,showcase_noStem2,50.0,50.0,0.8,0.1,63.8,85.4,73.0
157,showcase_noStem2,50.0,50.0,0.8,0.2,65.1,85.4,73.9
158,showcase_noStem2,50.0,50.0,0.8,0.3,68.3,92.2,78.5
159,showcase_noStem2,50.0,50.0,0.8,0.4,66.4,88.3,75.8
0,showcase_noStem2,5.0,5.0,0.8,0.2,54.0,79.0,64.0
1,showcase_noStem2,5.0,10.0,0.8,0.2,50.0,66.0,57.0
2,showcase_noStem2,5.0,15.0,0.8,0.2,55.0,82.0,66.0
3,showcase_noStem2,5.0,20.0,0.8,0.2,55.0,76.0,64.0
4,showcase_noStem2,5.0,25.0,0.8,0.2,47.0,66.0,55.0
5,showcase_noStem2,5.0,30.0,0.8,0.2,51.0,61.0,56.0
6,showcase_noStem2,5.0,35.0,0.8,0.2,53.0,71.0,60.0
7,showcase_noStem2,5.0,40.0,0.8,0.2,49.0,70.0,57.0
8,showcase_noStem2,5.0,45.0,0.8,0.2,39.0,56.0,46.0
9,showcase_noStem2,5.0,50.0,0.8,0.2,47.0,61.0,53.0
10,showcase_noStem2,5.0,55.0,0.8,0.2,55.0,70.0,62.0
11,showcase_noStem2,5.0,60.0,0.8,0.2,50.0,62.0,55.0
12,showcase_noStem2,5.0,65.0,0.8,0.2,44.0,52.0,48.0
13,showcase_noStem2,5.0,70.0,0.8,0.2,48.0,62.0,54.0
14,showcase_noStem2,5.0,75.0,0.8,0.2,45.0,57.0,50.0
15,showcase_noStem2,5.0,80.0,0.8,0.2,50.0,58.0,54.0
16,showcase_noStem2,5.0,85.0,0.8,0.2,44.0,61.0,51.0
17,showcase_noStem2,5.0,90.0,0.8,0.2,52.0,68.0,59.0
