,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
586,showcase_noStem,30.0,50.0,0.7,0.2,0.6173139158576053,0.7961165048543689,0.6954057163181266
588,showcase_noStem,30.0,50.0,0.8,0.05,0.691747572815534,0.9029126213592233,0.7833488495810614
589,showcase_noStem,30.0,50.0,0.8,0.1,0.6427184466019419,0.8737864077669902,0.740648658056015
590,showcase_noStem,30.0,50.0,0.8,0.2,0.6645631067961164,0.8640776699029126,0.7513003049203476
609,showcase_noStem,30.0,70.0,0.5,0.1,0.6370550161812298,0.7766990291262136,0.6999803313883262
624,showcase_noStem,30.0,75.0,0.5,0.05,0.666990291262136,0.8349514563106796,0.7415793800716702
625,showcase_noStem,30.0,75.0,0.5,0.1,0.6601941747572816,0.7864077669902912,0.7177950087965074
637,showcase_noStem,30.0,75.0,0.8,0.1,0.6399676375404529,0.7961165048543689,0.709552851087105
638,showcase_noStem,30.0,75.0,0.8,0.2,0.6690938511326862,0.8349514563106796,0.7428777346626488
641,showcase_noStem,30.0,90.0,0.5,0.1,0.6245954692556633,0.7572815533980582,0.6845683363270503
657,showcase_noStem,30.0,120.0,0.5,0.1,0.6334951456310681,0.7669902912621359,0.6938802981608926
672,showcase_noStem,30.0,125.0,0.5,0.05,0.6694174757281555,0.7864077669902912,0.7232119444345527
673,showcase_noStem,30.0,125.0,0.5,0.1,0.6634304207119741,0.7766990291262136,0.7156103414421293
685,showcase_noStem,30.0,125.0,0.8,0.1,0.6758899676375405,0.8543689320388349,0.7547211650896084
686,showcase_noStem,30.0,125.0,0.8,0.2,0.6754045307443365,0.8349514563106796,0.7467510989159581
688,showcase_noStem,30.0,150.0,0.5,0.05,0.6289644012944984,0.7669902912621359,0.6911536483449454
689,showcase_noStem,30.0,150.0,0.5,0.1,0.6511326860841425,0.7572815533980582,0.7002070245573958
752,showcase_noStem,40.0,50.0,0.5,0.05,0.6553398058252428,0.8252427184466019,0.7305427343625657
753,showcase_noStem,40.0,50.0,0.5,0.1,0.6723300970873787,0.8446601941747572,0.7487067961165048
754,showcase_noStem,40.0,50.0,0.5,0.2,0.6351132686084143,0.8349514563106796,0.7214495247153369
